timestamp,GSR
1746074981.7392828,379
1746074981.8436344,379
1746074981.9479952,378
1746074982.0523295,379
1746074982.1567209,379
1746074982.2610738,379
1746074982.3653903,378
1746074982.469776,378
1746074982.5741844,376
1746074982.6785035,375
1746074982.782801,374
1746074982.8870971,372
1746074982.991444,371
1746074983.0957625,370
1746074983.2001202,369
1746074983.304443,368
1746074983.4087415,367
1746074983.5130932,369
1746074983.6174483,366
1746074983.7218008,366
1746074983.8260982,365
1746074983.9303958,365
1746074984.0347226,365
1746074984.1390314,365
1746074984.2433224,365
1746074984.3476174,365
1746074984.4519541,365
1746074984.5563312,365
1746074984.660711,365
1746074984.7650194,365
1746074984.8693182,365
1746074984.9736156,365
1746074985.077986,368
1746074985.1823237,366
1746074985.2866437,366
1746074985.390976,367
1746074985.49536,367
1746074985.5999959,367
1746074985.7043216,368
1746074985.8087134,368
1746074985.913346,369
1746074986.017997,369
1746074986.1281745,370
1746074986.2402313,370
1746074986.3519065,371
1746074986.465059,371
1746074986.5776856,372
1746074986.6887012,373
1746074986.7958233,377
1746074986.9087884,373
1746074987.0204132,374
1746074987.132988,374
1746074987.2462807,375
1746074987.3572826,375
1746074987.4704916,375
1746074987.5836797,375
1746074987.6969697,376
1746074987.8074007,377
1746074987.9204865,376
1746074988.0322134,377
1746074988.145399,377
1746074988.2586048,377
1746074988.3718207,377
1746074988.48511,376
1746074988.5982802,377
1746074988.7114875,377
1746074988.823246,377
1746074988.9363961,376
1746074989.0477667,377
1746074989.1593735,377
1746074989.2724974,377
1746074989.3841972,377
1746074989.4973783,377
1746074989.609088,378
1746074989.7206638,378
1746074989.8322396,379
1746074989.9454525,378
1746074990.0571306,380
1746074990.1703882,379
1746074990.2823544,380
1746074990.3933918,380
1746074990.5043874,381
1746074990.6125956,382
1746074990.8339362,382
1746074990.946459,382
1746074991.0574417,383
1746074991.1699739,383
1746074991.2825158,383
1746074991.3935096,384
1746074991.5060546,384
1746074991.6172373,385
1746074991.833609,385
1746074991.9435115,386
1746074992.0545726,386
1746074992.1671612,385
1746074992.2796965,386
1746074992.3906934,387
1746074992.5032108,386
