timestamp,GSR
1746081746.0810165,461
1746081746.1853366,461
1746081746.2896569,461
1746081746.3940039,460
1746081746.4983983,463
1746081746.6027126,457
1746081746.7070303,457
1746081746.8113558,457
1746081746.915664,458
1746081747.019992,457
1746081747.1297436,458
1746081747.2416537,458
1746081747.3526638,459
1746081747.463629,459
1746081747.5745723,458
1746081747.6855097,456
1746081747.7964866,456
1746081747.907421,456
1746081748.0199606,454
1746081748.2413394,457
1746081748.3526556,458
1746081748.4636664,458
1746081748.5746305,456
1746081748.6856031,454
1746081748.7981882,452
1746081748.9091783,452
1746081749.0217404,451
1746081749.1327357,451
1746081749.2452598,451
1746081749.3563652,451
1746081749.4695146,450
1746081749.5821311,450
1746081749.6931696,452
1746081749.806343,452
1746081749.9174142,453
1746081750.0284605,454
1746081750.1397872,454
1746081750.2490227,455
1746081750.3607867,456
1746081750.4733667,456
1746081750.5866094,457
1746081750.6991436,458
1746081750.8117566,458
1746081750.924353,459
1746081751.0374794,461
1746081751.1500797,461
1746081751.2626634,462
1746081751.3744013,464
1746081751.4869394,463
1746081751.598012,465
1746081751.7111259,465
1746081751.8236887,465
1746081751.93016,466
1746081752.0345063,465
1746081752.1388717,465
1746081752.2432227,466
1746081752.347577,466
1746081752.451912,467
1746081752.556243,467
1746081752.660573,468
1746081752.7649012,467
1746081752.8692422,468
1746081752.9735992,469
1746081753.0779953,469
1746081753.182385,469
1746081753.286791,470
1746081753.3911173,470
1746081753.4954462,470
1746081753.5998144,470
1746081753.7041724,471
1746081753.808499,471
1746081753.9128463,471
1746081754.0171745,471
1746081754.1215043,471
1746081754.2258267,472
1746081754.3301902,472
1746081754.4345484,472
1746081754.538871,472
1746081754.6432195,473
1746081754.7475638,474
1746081754.8518944,474
1746081754.9562192,475
1746081755.0605638,475
1746081755.1649237,475
1746081755.2692518,474
1746081755.373597,475
1746081755.4779248,474
1746081755.5822542,473
1746081755.6865826,472
1746081755.7909417,471
1746081755.8953,470
1746081755.9996262,468
1746081756.1039748,471
1746081756.208302,467
1746081756.312626,466
1746081756.4169526,466
1746081756.5214105,466
1746081756.6260118,469
1746081756.7303917,465
