timestamp,GSR
1745538635.1801755,270
1745538635.2847981,270
1745538635.389603,269
1745538635.4941914,269
1745538635.5987675,269
1745538635.7033155,266
1745538635.807908,265
1745538635.9124594,262
1745538636.0169947,258
1745538636.121518,254
1745538636.226038,251
1745538636.3305838,246
1745538636.4351053,243
1745538636.5398853,240
1745538636.6444366,237
1745538636.748944,234
1745538636.8535206,231
1745538636.9580643,229
1745538637.0625706,227
1745538637.166889,225
1745538637.2712257,225
1745538637.3758047,224
1745538637.4801207,223
1745538637.5846589,223
1745538637.6890016,223
1745538637.7935233,222
1745538637.898071,223
1745538638.002693,223
1745538638.1071963,223
1745538638.211687,224
1745538638.3161902,225
1745538638.420676,225
1745538638.525228,226
1745538638.6297376,227
1745538638.7340927,228
1745538638.8386483,228
1745538638.942994,229
1745538639.0473287,230
1745538639.1516774,231
1745538639.2560222,232
1745538639.3605993,233
1745538639.470381,234
1745538639.583254,235
1745538639.6958332,237
1745538639.8084152,237
1745538639.9199843,238
1745538640.0329113,239
1745538640.1457176,240
1745538640.255698,242
1745538640.3685436,242
1745538640.4810834,243
1745538640.5921059,245
1745538640.703273,245
1745538640.8158364,245
1745538640.9283988,246
1745538641.0394754,247
1745538641.1520119,247
1745538641.2629807,249
1745538641.373948,249
1745538641.4864779,249
1745538641.5990498,250
1745538641.7116244,251
1745538641.8231363,251
1745538641.9356747,251
1745538642.0482314,252
1745538642.1592119,253
1745538642.2717311,253
1745538642.3842165,253
1745538642.4952152,254
1745538642.6077805,253
1745538642.7189672,254
1745538642.8299093,255
1745538642.942382,254
1745538643.0548832,255
1745538643.167513,255
1745538643.2801042,256
1745538643.3926606,256
1745538643.5052044,257
1745538643.6178155,257
1745538643.7303183,257
1745538643.8414302,259
1745538643.9539723,258
1745538644.0666347,258
1745538644.17476,259
1745538644.2816315,259
1745538644.3926525,259
1745538644.5036542,260
1745538644.614639,260
1745538644.7271671,260
1745538644.8382058,261
1745538644.9507701,261
1745538645.0633113,261
1745538645.1759484,262
1745538645.285775,262
1745538645.3983672,262
1745538645.5093534,263
1745538645.6219132,263
1745538645.7344525,263
1745538645.8454447,264
1745538645.9579797,263
