timestamp,GSR
1746324300.1855798,265
1746324300.2899003,265
1746324300.394258,266
1746324300.4986098,267
1746324300.6029506,268
1746324300.7073398,270
1746324300.8116913,269
1746324300.9160461,270
1746324301.0204253,271
1746324301.1248033,271
1746324301.2291446,271
1746324301.3334785,271
1746324301.4378092,272
1746324301.5421364,273
1746324301.6467369,273
1746324301.7511044,274
1746324301.8554418,275
1746324301.9597754,275
1746324302.064106,276
1746324302.1684418,276
1746324302.2727904,277
1746324302.3771136,276
1746324302.4814553,277
1746324302.5857747,278
1746324302.6901002,279
1746324302.794423,279
1746324302.8987885,279
1746324303.003484,279
1746324303.1078548,281
1746324303.2121801,281
1746324303.3165026,282
1746324303.420878,282
1746324303.5252063,283
1746324303.6296084,284
1746324303.7339797,284
1746324303.838307,284
1746324303.942626,285
1746324304.0469499,285
1746324304.1513038,286
1746324304.255668,287
1746324304.3600483,287
1746324304.4698062,288
1746324304.5772202,288
1746324304.6882114,289
1746324304.7991943,289
1746324304.9117177,289
1746324305.0242379,291
1746324305.1370308,291
1746324305.241423,290
1746324305.3461077,292
1746324305.450749,293
1746324305.6594124,293
1746324305.764069,294
1746324305.8683927,294
1746324305.9728012,293
1746324306.0771585,295
1746324306.181517,295
1746324306.2859004,295
1746324306.3902726,296
1746324306.494595,297
1746324306.5989132,297
1746324306.7032423,297
1746324306.8076046,298
1746324306.9119616,298
1746324307.0162842,298
1746324307.1206355,299
1746324307.225046,303
1746324307.3293762,300
1746324307.4337149,300
1746324307.538066,301
1746324307.6423874,301
1746324307.7467518,302
1746324307.8510797,302
1746324307.9554098,302
1746324308.0597446,303
1746324308.1641698,310
1746324308.268531,303
1746324308.3728712,304
1746324308.4771984,304
1746324308.5815353,305
1746324308.685991,305
1746324308.7903774,306
1746324308.8947296,306
1746324308.999056,307
1746324309.1034174,307
1746324309.2077444,307
1746324309.312069,308
1746324309.4163916,308
1746324309.5207338,309
1746324309.6250808,309
1746324309.7294073,309
1746324309.8337646,310
1746324309.9380882,310
1746324310.042411,310
1746324310.1483338,314
1746324310.2608855,309
1746324310.3719158,311
1746324310.4828742,312
1746324310.5939462,313
